,econ_interven,environment,redistribution,civlib_laworder,immigrate_policy,sociallifestyle
548,8.0,1.0,7.0,5.0,10.0,0.0
550,7.0,7.0,8.0,0.0,10.0,10.0
551,3.0,0.0,3.0,0.0,10.0,0.0
552,5.0,0.0,6.0,3.0,3.0,0.0
553,0.0,1.0,0.0,0.0,5.0,0.0
554,5.0,1.0,3.0,1.0,5.0,0.0
555,8.0,1.0,5.0,2.0,9.0,0.0
556,5.0,2.0,0.0,7.0,7.0,0.0
558,5.0,0.0,4.0,4.0,4.0,0.0
559,9.0,1.0,5.0,3.0,0.0,3.0
560,6.0,5.0,0.0,5.0,5.0,5.0
561,8.0,9.0,7.0,7.0,1.0,5.0
562,6.0,6.0,6.0,5.0,10.0,10.0
563,5.0,0.0,1.0,5.0,1.0,1.0
564,0.0,3.0,3.0,0.0,3.0,7.0
566,6.0,1.0,4.0,3.0,2.0,0.0
567,5.0,5.0,5.0,6.0,5.0,5.0
568,5.0,0.0,10.0,3.0,10.0,3.0
569,9.0,3.0,5.0,2.0,8.0,4.0
570,7.0,6.0,1.0,9.0,0.0,0.0
571,8.0,5.0,10.0,5.0,10.0,5.0
572,6.0,1.0,5.0,0.0,5.0,8.0
573,5.0,4.0,4.0,4.0,6.0,7.0
574,5.0,4.0,1.0,6.0,7.0,5.0
575,4.0,2.0,0.0,2.0,0.0,10.0
576,7.0,0.0,2.0,4.0,7.0,5.0
577,7.0,0.0,3.0,4.0,3.0,0.0
578,6.0,0.0,7.0,10.0,10.0,9.0
579,4.0,3.0,3.0,6.0,1.0,1.0
580,5.0,4.0,5.0,10.0,10.0,10.0
582,6.0,0.0,4.0,2.0,3.0,0.0
583,4.0,3.0,6.0,6.0,2.0,1.0
584,5.0,8.0,7.0,6.0,4.0,5.0
586,7.0,0.0,6.0,2.0,0.0,0.0
587,5.0,3.0,8.0,3.0,9.0,1.0
588,5.0,5.0,7.0,5.0,10.0,10.0
589,5.0,1.0,1.0,1.0,5.0,1.0
590,5.0,3.0,5.0,5.0,5.0,5.0
591,5.0,2.0,5.0,6.0,10.0,8.0
593,5.0,8.0,7.0,6.0,10.0,10.0
594,5.0,3.0,3.0,3.0,6.0,0.0
595,10.0,0.0,0.0,10.0,10.0,0.0
596,6.0,10.0,9.0,5.0,9.0,9.0
598,6.0,5.0,6.0,6.0,7.0,2.0
