,econ_interven,environment,redistribution,civlib_laworder,immigrate_policy,sociallifestyle,lrgen_factor,lrecon_factor,galtan_factor,party_id,party_id,party_id
281,3,5,4,5,5,2,3,4,2,3102.0,3102.0,3102.0
282,5,4,6,5,7,7,8,5,7,3115.0,3115.0,3115.0
283,5,8,6,5,5,2,6,6,2,3105.0,3105.0,3105.0
284,5,6,5,5,6,4,5,4,3,3103.0,3103.0,3103.0
285,7,6,6,2,6,3,7,7,3,3104.0,3104.0,3104.0
286,1,6,2,5,6,5,2,3,3,3108.0,3108.0,3108.0
287,2,6,4,5,6,5,2,3,3,3110.0,3110.0,3110.0
288,2,5,5,8,8,7,9,4,9,3107.0,3107.0,3107.0
289,3,3,2,3,8,5,1,2,5,3116.0,3116.0,3116.0
290,2,8,3,5,5,4,2,3,5,3117.0,3117.0,3117.0
291,7,8,7,4,6,3,7,7,2,3118.0,3118.0,3118.0
292,7,6,6,4,5,2,5,7,1,3106.0,3106.0,3106.0
293,7,6,6,8,9,8,9,6,9,3119.0,3119.0,3119.0
294,1,8,4,6,7,7,6,4,6,3101.0,3101.0,3101.0
295,1,7,3,4,5,1,4,4,2,3102.0,3102.0,3102.0
296,6,7,4,7,10,8,8,5,8,3115.0,3115.0,3115.0
297,6,8,6,1,6,2,5,6,4,3105.0,3105.0,3105.0
298,2,1,2,1,4,1,3,4,5,3103.0,3103.0,3103.0
299,8,4,7,2,5,2,5,8,6,3104.0,3104.0,3104.0
300,2,5,0,3,3,4,4,3,6,3108.0,3108.0,3108.0
301,3,4,3,1,4,2,3,2,4,3110.0,3110.0,3110.0
302,1,8,1,8,10,9,9,2,9,3107.0,3107.0,3107.0
303,0,3,4,1,7,2,4,1,4,3116.0,3116.0,3116.0
304,4,6,4,6,6,6,7,4,6,3117.0,3117.0,3117.0
305,9,8,6,3,3,3,5,7,5,3118.0,3118.0,3118.0
306,2,7,4,0,4,0,3,5,1,3106.0,3106.0,3106.0
307,4,8,1,8,8,9,10,5,10,3119.0,3119.0,3119.0
